Date,Time,Title,Buy-in Per Player,Platforms,Team Size,Tournament Type (Ex: Single Elimination),Players in Match,Number of Teams Registered,Series Type (Ex: Best of 3),Prize Pool,Profit
"September 15, 2022",8:22 PM,3v3 CW 1ND BO2 MAPS SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$42,18.0
"September 15, 2022",7:28 PM,2v2 MW SND + THROWBACK MAPS,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 3,$18,2.0
"September 15, 2022",6:23 PM,2v2 CW BO2 MAPS SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$22,8.0
"September 15, 2022",4:27 PM,2v2 1ND MW SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$28,12.0
"September 15, 2022",3:16 PM,2v2 $10 FE 1ND VG SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$10,-10.0
"September 15, 2022",2:57 PM,3v3 MW SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 3,$42,18.0
"September 15, 2022",12:00 AM,$441switch,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$441,-441.0
"September 14, 2022",10:45 PM,2v2 CW 1ND BO2 MAPS SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$28,12.0
"September 14, 2022",10:30 PM,2v2 1ND MW SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$14,2.0
"September 14, 2022",9:32 PM,3v3 CW 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$27,9.0
"September 14, 2022",9:30 PM,2v2 $50 GTD 1ND VG SND,$7,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$50,6.0
"September 14, 2022",8:30 PM,2v2 FE NO PRIZE 1ND VG SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$0,0.0
"September 14, 2022",8:28 PM,2v2 1ND MW SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,7,Best of 1,$50,20.0
"September 14, 2022",6:26 PM,3v3 *HIGH ROLLER* MW SND,$10,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 3,$90,30.0
"September 14, 2022",4:32 PM,4v4 DOUBLE ELIM MW HP/SND,$7.5,"['xbox', 'playstation', 'battle.net']",4,double elimination,4v4,3,Best of 3,$64,26.0
"September 14, 2022",3:23 PM,3v3 CW BO2 MAPS SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 3,$54,6.0
"September 14, 2022",3:10 PM,2v2 $20 FE REBIRTH ISLAND KILL RACE,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 3,$20,-20.0
"September 14, 2022",2:23 PM,2v2 MW SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,8,Best of 3,$56,24.0
"September 14, 2022",12:00 AM,$568switch,$0,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,2,Best of 1,$568,-568.0
"September 14, 2022",12:00 AM,3v3$10eachchall,$10,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 3,$57,3.0
